"grappe","menage","vague","s13q00","s13q01","s13q02","s13q03","s13q04","s13q05","s13q06","s13q07","s13q08","s13q09"
35,10,1,1,2,,2,,2,2,2,2,0
35,12,1,1,2,,2,,2,2,2,2,0
35,13,1,1,2,,2,,2,2,2,2,0
35,14,1,2,2,,1,2,2,1,2,2,1
35,15,1,2,2,,2,,2,1,2,2,1
35,16,1,3,2,,2,,2,2,2,2,0
36,1,2,2,1,2,1,2,2,1,1,2,1
36,2,2,1,2,,2,,1,2,1,2,1
36,3,2,6,2,,2,,2,2,2,2,0
36,4,2,1,2,,2,,2,2,2,1,1
36,6,2,1,1,1,2,,2,2,2,2,1
36,7,2,4,1,2,2,,2,2,1,2,1
36,8,2,2,2,,1,1,2,2,2,2,1
36,9,2,2,2,,2,,2,2,2,2,0
36,11,2,1,1,1,2,,2,2,2,2,1
36,13,2,2,1,1,2,,2,2,2,2,1
36,14,2,2,1,2,2,,2,2,2,2,0
36,15,2,1,2,,2,,2,2,2,2,0
37,1,1,13,2,,2,,2,2,2,2,0
37,2,1,1,2,,2,,2,2,2,2,0
37,3,1,8,2,,2,,2,2,2,2,0
37,4,1,7,2,,2,,2,2,2,2,0
37,5,1,2,2,,2,,2,2,2,2,0
37,7,1,1,1,1,1,1,1,2,2,2,1
37,8,1,1,2,,2,,2,2,1,2,1
37,11,1,3,2,,2,,2,2,2,2,0
37,12,1,2,2,,2,,1,1,2,2,1
37,13,1,1,2,,2,,2,1,2,2,1
37,14,1,1,2,,2,,1,1,1,2,1
37,15,1,1,2,,2,,2,1,2,2,1
38,1,2,1,2,,2,,2,2,2,2,0
38,2,2,1,1,1,2,,2,2,2,2,1
38,3,2,2,2,,2,,2,1,1,1,1
38,4,2,1,2,,2,,2,1,2,2,1
38,5,2,1,1,2,2,,1,1,2,2,1
38,7,2,3,2,,2,,2,2,2,2,0
38,8,2,6,1,1,2,,2,2,2,2,1
38,9,2,4,2,,2,,2,2,2,2,0
38,10,2,1,2,,2,,2,2,2,2,0
38,11,2,1,2,,2,,2,2,2,2,0
38,12,2,1,2,,2,,2,1,2,2,1
38,13,2,2,1,1,2,,2,2,2,2,1
39,1,1,1,1,1,2,,2,1,1,2,1
39,2,1,2,2,,1,2,2,2,2,2,0
39,3,1,2,2,,2,,1,2,2,2,1
