"country","hhid","year","grappe","menage","vague","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"GNB",12242605,2021,122426,5,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609999997541308,0,1,4,0,9,1,1,1,0,0,0
"GNB",12242606,2021,122426,6,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0499999988824129,0,3,0,0,16,1,0,0,1,0,0
"GNB",12242607,2021,122426,7,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350000001490116,0,1,5,0,0,1,1,0,1,0,0
"GNB",12242608,2021,122426,8,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0199999995529652,0,0,0,0,0,0,1,1,1,0,0
"GNB",12242609,2021,122426,9,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,15,1,1,1,0,0,0
"GNB",12242901,2021,122429,1,1,2,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0499999998137355,0,1,0,0,15,1,1,0,0,0,0
"GNB",12242902,2021,122429,2,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0700000002980232,0,0,0,0,0,0,0,1,0,0,0
"GNB",12242903,2021,122429,3,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0549999997019768,0,0,0,0,10,1,0,1,0,0,0
"GNB",12242904,2021,122429,4,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,1,0,0,0
"GNB",12242905,2021,122429,5,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3.5,0,10,0,0,20,0,0,1,0,0,0
"GNB",12242906,2021,122429,6,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.5,0,7,0,0,8,1,1,1,0,0,0
"GNB",12242907,2021,122429,7,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02500000037253,0,4,0,0,10,0,1,1,1,0,0
